affirmer|verb|			Bruno	Hee-Soo	Mathieu		
	A._1.UND-3	Modification que l'on fait subir à l'intonation primitive d'une note en la haussant ou en la baissant au moyen de signes appelés signes d'altération.	none	none	none	Modification de bien en mal dans l’état d’une personne ou d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_2_altération__nom__1
	A._1.UND-3	Modification que l'on fait subir à l'intonation primitive d'une note en la haussant ou en la baissant au moyen de signes appelés signes d'altération.	none	none	none	(Cartographie) Erreur systématique, généralement de valeur connue, inséparablement liée à la nature même d'un processus.	http://kaiko.getalp.org/dbnary/fra/__ws_7_altération__nom__1
	A._1.UND-3	Modification que l'on fait subir à l'intonation primitive d'une note en la haussant ou en la baissant au moyen de signes appelés signes d'altération.	none	none	none	(Chimie physique) Changement dans l’état d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_altération__nom__1
	A._1.UND-3	Modification que l'on fait subir à l'intonation primitive d'une note en la haussant ou en la baissant au moyen de signes appelés signes d'altération.	none	none	none	(Vieilli) (Désuet) Grande soif, émotion d'esprit.	http://kaiko.getalp.org/dbnary/fra/__ws_6_altération__nom__1
	A._1.UND-3	Modification que l'on fait subir à l'intonation primitive d'une note en la haussant ou en la baissant au moyen de signes appelés signes d'altération.	exact	exact	exact	(Musique) Tout changement chromatique qu’on fait subir à une note.	http://kaiko.getalp.org/dbnary/fra/__ws_4_altération__nom__1
	A._1.UND-3	Modification que l'on fait subir à l'intonation primitive d'une note en la haussant ou en la baissant au moyen de signes appelés signes d'altération.	none	none	none	Falsification des monnaies par l’excès de l’alliage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_altération__nom__1
	A._1.UND-4	Chez Aristote, changement dans la catégorie de qualité : le fait de devenir ou de rendre autre.	none	none	none	(Jardinage) Diminution considérable de l'activité de la sève.	http://kaiko.getalp.org/dbnary/fra/__ws_5_altération__nom__1
	A._1.UND-4	Chez Aristote, changement dans la catégorie de qualité : le fait de devenir ou de rendre autre.	related	none	related	Modification de bien en mal dans l’état d’une personne ou d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_2_altération__nom__1
	A._1.UND-4	Chez Aristote, changement dans la catégorie de qualité : le fait de devenir ou de rendre autre.	none	none	none	(Cartographie) Erreur systématique, généralement de valeur connue, inséparablement liée à la nature même d'un processus.	http://kaiko.getalp.org/dbnary/fra/__ws_7_altération__nom__1
	A._1.UND-4	Chez Aristote, changement dans la catégorie de qualité : le fait de devenir ou de rendre autre.	none	none	none	(Chimie physique) Changement dans l’état d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_altération__nom__1
	A._1.UND-4	Chez Aristote, changement dans la catégorie de qualité : le fait de devenir ou de rendre autre.	none	none	none	(Vieilli) (Désuet) Grande soif, émotion d'esprit.	http://kaiko.getalp.org/dbnary/fra/__ws_6_altération__nom__1
	A._1.UND-4	Chez Aristote, changement dans la catégorie de qualité : le fait de devenir ou de rendre autre.	none	none	none	(Musique) Tout changement chromatique qu’on fait subir à une note.	http://kaiko.getalp.org/dbnary/fra/__ws_4_altération__nom__1
	A._1.UND-4	Chez Aristote, changement dans la catégorie de qualité : le fait de devenir ou de rendre autre.	none	none	none	Falsification des monnaies par l’excès de l’alliage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_altération__nom__1
	A._UND-5	Changement radical, sans nuance	none	none	none	(Jardinage) Diminution considérable de l'activité de la sève.	http://kaiko.getalp.org/dbnary/fra/__ws_5_altération__nom__1
	A._UND-5	Changement radical, sans nuance	related	none	related	Modification de bien en mal dans l’état d’une personne ou d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_2_altération__nom__1
	A._UND-5	Changement radical, sans nuance	none	none	none	(Cartographie) Erreur systématique, généralement de valeur connue, inséparablement liée à la nature même d'un processus.	http://kaiko.getalp.org/dbnary/fra/__ws_7_altération__nom__1
	A._UND-5	Changement radical, sans nuance	none	related	none	(Chimie physique) Changement dans l’état d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_altération__nom__1
	A._UND-5	Changement radical, sans nuance	none	none	none	(Vieilli) (Désuet) Grande soif, émotion d'esprit.	http://kaiko.getalp.org/dbnary/fra/__ws_6_altération__nom__1
	A._UND-5	Changement radical, sans nuance	none	none	none	(Musique) Tout changement chromatique qu’on fait subir à une note.	http://kaiko.getalp.org/dbnary/fra/__ws_4_altération__nom__1
	A._UND-5	Changement radical, sans nuance	none	none	none	Falsification des monnaies par l’excès de l’alliage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_altération__nom__1
	B._1.b)UND-8	Chez Freud. Altération du moi : ensemble des limitations et des attitudes anachroniques acquises par le moi au cours des étapes du conflit défensif, et qui retentissent défavorablement sur ses possibilités d'adaptation.	none	none	none	(Jardinage) Diminution considérable de l'activité de la sève.	http://kaiko.getalp.org/dbnary/fra/__ws_5_altération__nom__1
	B._1.b)UND-8	Chez Freud. Altération du moi : ensemble des limitations et des attitudes anachroniques acquises par le moi au cours des étapes du conflit défensif, et qui retentissent défavorablement sur ses possibilités d'adaptation.	related	none	none	Modification de bien en mal dans l’état d’une personne ou d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_2_altération__nom__1
	B._1.b)UND-8	Chez Freud. Altération du moi : ensemble des limitations et des attitudes anachroniques acquises par le moi au cours des étapes du conflit défensif, et qui retentissent défavorablement sur ses possibilités d'adaptation.	none	none	none	(Cartographie) Erreur systématique, généralement de valeur connue, inséparablement liée à la nature même d'un processus.	http://kaiko.getalp.org/dbnary/fra/__ws_7_altération__nom__1
	B._1.b)UND-8	Chez Freud. Altération du moi : ensemble des limitations et des attitudes anachroniques acquises par le moi au cours des étapes du conflit défensif, et qui retentissent défavorablement sur ses possibilités d'adaptation.	none	none	none	(Chimie physique) Changement dans l’état d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_altération__nom__1
	B._1.b)UND-8	Chez Freud. Altération du moi : ensemble des limitations et des attitudes anachroniques acquises par le moi au cours des étapes du conflit défensif, et qui retentissent défavorablement sur ses possibilités d'adaptation.	none	none	none	(Vieilli) (Désuet) Grande soif, émotion d'esprit.	http://kaiko.getalp.org/dbnary/fra/__ws_6_altération__nom__1
	B._1.b)UND-8	Chez Freud. Altération du moi : ensemble des limitations et des attitudes anachroniques acquises par le moi au cours des étapes du conflit défensif, et qui retentissent défavorablement sur ses possibilités d'adaptation.	none	none	none	(Musique) Tout changement chromatique qu’on fait subir à une note.	http://kaiko.getalp.org/dbnary/fra/__ws_4_altération__nom__1
	B._1.b)UND-8	Chez Freud. Altération du moi : ensemble des limitations et des attitudes anachroniques acquises par le moi au cours des étapes du conflit défensif, et qui retentissent défavorablement sur ses possibilités d'adaptation.	none	none	none	Falsification des monnaies par l’excès de l’alliage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_altération__nom__1
	B._2.UND-10	Contrefaçon, falsification, imitation frauduleuse	none	none	none	(Jardinage) Diminution considérable de l'activité de la sève.	http://kaiko.getalp.org/dbnary/fra/__ws_5_altération__nom__1
	B._2.UND-10	Contrefaçon, falsification, imitation frauduleuse	none	related	none	Modification de bien en mal dans l’état d’une personne ou d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_2_altération__nom__1
	B._2.UND-10	Contrefaçon, falsification, imitation frauduleuse	none	none	none	(Cartographie) Erreur systématique, généralement de valeur connue, inséparablement liée à la nature même d'un processus.	http://kaiko.getalp.org/dbnary/fra/__ws_7_altération__nom__1
	B._2.UND-10	Contrefaçon, falsification, imitation frauduleuse	none	none	none	(Chimie physique) Changement dans l’état d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_altération__nom__1
	B._2.UND-10	Contrefaçon, falsification, imitation frauduleuse	none	none	none	(Vieilli) (Désuet) Grande soif, émotion d'esprit.	http://kaiko.getalp.org/dbnary/fra/__ws_6_altération__nom__1
	B._2.UND-10	Contrefaçon, falsification, imitation frauduleuse	none	none	none	(Musique) Tout changement chromatique qu’on fait subir à une note.	http://kaiko.getalp.org/dbnary/fra/__ws_4_altération__nom__1
	B._2.UND-10	Contrefaçon, falsification, imitation frauduleuse	broader	broader	broader	Falsification des monnaies par l’excès de l’alliage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_altération__nom__1
	B._2.UND-11	Action de changer sciemment la consigne, en parlant du chef d'un poste. C'est un délit que l'on punit de six mois d'emprisonnement.	none	none	none	(Jardinage) Diminution considérable de l'activité de la sève.	http://kaiko.getalp.org/dbnary/fra/__ws_5_altération__nom__1
	B._2.UND-11	Action de changer sciemment la consigne, en parlant du chef d'un poste. C'est un délit que l'on punit de six mois d'emprisonnement.	none	none	none	Modification de bien en mal dans l’état d’une personne ou d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_2_altération__nom__1
	B._2.UND-11	Action de changer sciemment la consigne, en parlant du chef d'un poste. C'est un délit que l'on punit de six mois d'emprisonnement.	none	none	none	(Cartographie) Erreur systématique, généralement de valeur connue, inséparablement liée à la nature même d'un processus.	http://kaiko.getalp.org/dbnary/fra/__ws_7_altération__nom__1
	B._2.UND-11	Action de changer sciemment la consigne, en parlant du chef d'un poste. C'est un délit que l'on punit de six mois d'emprisonnement.	none	none	none	(Chimie physique) Changement dans l’état d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_altération__nom__1
	B._2.UND-11	Action de changer sciemment la consigne, en parlant du chef d'un poste. C'est un délit que l'on punit de six mois d'emprisonnement.	none	none	none	(Vieilli) (Désuet) Grande soif, émotion d'esprit.	http://kaiko.getalp.org/dbnary/fra/__ws_6_altération__nom__1
	B._2.UND-11	Action de changer sciemment la consigne, en parlant du chef d'un poste. C'est un délit que l'on punit de six mois d'emprisonnement.	none	none	none	(Musique) Tout changement chromatique qu’on fait subir à une note.	http://kaiko.getalp.org/dbnary/fra/__ws_4_altération__nom__1
	B._2.UND-11	Action de changer sciemment la consigne, en parlant du chef d'un poste. C'est un délit que l'on punit de six mois d'emprisonnement.	none	none	none	Falsification des monnaies par l’excès de l’alliage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_altération__nom__1
	UND-13	Dégradation par rapport à l'état initial ou normal d'une chose, ou aspect de l'être humain.	none	none	none	(Jardinage) Diminution considérable de l'activité de la sève.	http://kaiko.getalp.org/dbnary/fra/__ws_5_altération__nom__1
	UND-13	Dégradation par rapport à l'état initial ou normal d'une chose, ou aspect de l'être humain.	exact	exact	exact	Modification de bien en mal dans l’état d’une personne ou d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_2_altération__nom__1
	UND-13	Dégradation par rapport à l'état initial ou normal d'une chose, ou aspect de l'être humain.	none	none	none	(Cartographie) Erreur systématique, généralement de valeur connue, inséparablement liée à la nature même d'un processus.	http://kaiko.getalp.org/dbnary/fra/__ws_7_altération__nom__1
	UND-13	Dégradation par rapport à l'état initial ou normal d'une chose, ou aspect de l'être humain.	none	none	related	(Chimie physique) Changement dans l’état d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_altération__nom__1
	UND-13	Dégradation par rapport à l'état initial ou normal d'une chose, ou aspect de l'être humain.	none	none	none	(Vieilli) (Désuet) Grande soif, émotion d'esprit.	http://kaiko.getalp.org/dbnary/fra/__ws_6_altération__nom__1
	UND-13	Dégradation par rapport à l'état initial ou normal d'une chose, ou aspect de l'être humain.	none	none	none	(Musique) Tout changement chromatique qu’on fait subir à une note.	http://kaiko.getalp.org/dbnary/fra/__ws_4_altération__nom__1
	UND-13	Dégradation par rapport à l'état initial ou normal d'une chose, ou aspect de l'être humain.	none	none	none	Falsification des monnaies par l’excès de l’alliage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_altération__nom__1
	UND-6	Modification de l'état ou de la qualité d'une chose.	none	none	broader	(Jardinage) Diminution considérable de l'activité de la sève.	http://kaiko.getalp.org/dbnary/fra/__ws_5_altération__nom__1
	UND-6	Modification de l'état ou de la qualité d'une chose.	broader	broader	broader	Modification de bien en mal dans l’état d’une personne ou d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_2_altération__nom__1
	UND-6	Modification de l'état ou de la qualité d'une chose.	none	none	none	(Cartographie) Erreur systématique, généralement de valeur connue, inséparablement liée à la nature même d'un processus.	http://kaiko.getalp.org/dbnary/fra/__ws_7_altération__nom__1
	UND-6	Modification de l'état ou de la qualité d'une chose.	none	related	broader	(Chimie physique) Changement dans l’état d’une chose.	http://kaiko.getalp.org/dbnary/fra/__ws_1_altération__nom__1
	UND-6	Modification de l'état ou de la qualité d'une chose.	none	none	none	(Vieilli) (Désuet) Grande soif, émotion d'esprit.	http://kaiko.getalp.org/dbnary/fra/__ws_6_altération__nom__1
	UND-6	Modification de l'état ou de la qualité d'une chose.	none	none	broader	(Musique) Tout changement chromatique qu’on fait subir à une note.	http://kaiko.getalp.org/dbnary/fra/__ws_4_altération__nom__1
	UND-6	Modification de l'état ou de la qualité d'une chose.	none	none	none	Falsification des monnaies par l’excès de l’alliage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_altération__nom__1
courser|verb|							
https://www.cnrtl.fr/definition/22674							
http://kaiko.getalp.org/dbnary/fra/courser__verb__1							
	UND-1	Poursuivre à la course (une personne ou un animal).	exact	exact	exact	Poursuivre ; courir après quelqu’un ou un animal.	http://kaiko.getalp.org/dbnary/fra/__ws_1_courser__verb__1
	UND-2	Poursuivre une femme de ses assiduités	narrower	narrower	none	Poursuivre ; courir après quelqu’un ou un animal.	http://kaiko.getalp.org/dbnary/fra/__ws_1_courser__verb__1
papyrus|noun|masculine							
https://www.cnrtl.fr/definition/60654							
http://kaiko.getalp.org/dbnary/fra/papyrus__nom__1							
	B._UND-2	Feuille constituée par la superposition de deux couches pressées de fines bandes de tiges de cette plante, l'une horizontale, l'autre verticale, séchée et poncée, utilisée par les Égyptiens de l'Antiquité pour la confection de leurs manuscrits; ensemble de feuilles collées bout à bout.	exact	exact	exact	(Par extension) Feuille faite avec le papyrus.	http://kaiko.getalp.org/dbnary/fra/__ws_2_papyrus__nom__1
	B._UND-2	Feuille constituée par la superposition de deux couches pressées de fines bandes de tiges de cette plante, l'une horizontale, l'autre verticale, séchée et poncée, utilisée par les Égyptiens de l'Antiquité pour la confection de leurs manuscrits; ensemble de feuilles collées bout à bout.	related	none	none	(Botanique) Plante de la famille des cypéracées (Cyperaceae). Plante aquatique herbacée qui pousse en Égypte le long du Nil, dont la tige est triangulaire et de l’écorce duquel les anciens Égyptiens faisaient les feuilles dont ils se servaient pour écrire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_papyrus__nom__1
	B._UND-2	Feuille constituée par la superposition de deux couches pressées de fines bandes de tiges de cette plante, l'une horizontale, l'autre verticale, séchée et poncée, utilisée par les Égyptiens de l'Antiquité pour la confection de leurs manuscrits; ensemble de feuilles collées bout à bout.	related	none	none	(Par métonymie) Texte écrit sur une feuille de papyrus.	http://kaiko.getalp.org/dbnary/fra/__ws_3_papyrus__nom__1
	B._UND-3	Manuscrit dont le support est un papyrus; texte de ce manuscrit.	related	none	none	(Par extension) Feuille faite avec le papyrus.	http://kaiko.getalp.org/dbnary/fra/__ws_2_papyrus__nom__1
	B._UND-3	Manuscrit dont le support est un papyrus; texte de ce manuscrit.	related	none	none	(Botanique) Plante de la famille des cypéracées (Cyperaceae). Plante aquatique herbacée qui pousse en Égypte le long du Nil, dont la tige est triangulaire et de l’écorce duquel les anciens Égyptiens faisaient les feuilles dont ils se servaient pour écrire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_papyrus__nom__1
	B._UND-3	Manuscrit dont le support est un papyrus; texte de ce manuscrit.	broader	exact	exact	(Par métonymie) Texte écrit sur une feuille de papyrus.	http://kaiko.getalp.org/dbnary/fra/__ws_3_papyrus__nom__1
	UND-1	Roseau composé d'une grosse racine rampante et d'une longue tige nue, à section triangulaire, portant une touffe de minces feuilles et une fleur en ombelle.	related	none	none	(Par extension) Feuille faite avec le papyrus.	http://kaiko.getalp.org/dbnary/fra/__ws_2_papyrus__nom__1
	UND-1	Roseau composé d'une grosse racine rampante et d'une longue tige nue, à section triangulaire, portant une touffe de minces feuilles et une fleur en ombelle.	exact	related	exact	(Botanique) Plante de la famille des cypéracées (Cyperaceae). Plante aquatique herbacée qui pousse en Égypte le long du Nil, dont la tige est triangulaire et de l’écorce duquel les anciens Égyptiens faisaient les feuilles dont ils se servaient pour écrire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_papyrus__nom__1
	UND-1	Roseau composé d'une grosse racine rampante et d'une longue tige nue, à section triangulaire, portant une touffe de minces feuilles et une fleur en ombelle.	related	none	none	(Par métonymie) Texte écrit sur une feuille de papyrus.	http://kaiko.getalp.org/dbnary/fra/__ws_3_papyrus__nom__1
armoire|noun|feminine							
https://www.cnrtl.fr/definition/8504							
http://kaiko.getalp.org/dbnary/fra/armoire__nom__1							
	B._UND-2	Grand meuble, ordinairement plus haut que large, garni de tablettes et fermé par une ou plusieurs portes, destiné à renfermer les objets de ménage, le linge, les vêtements	broader	related	related	(Québec) Placard, meuble de rangement, notamment pour le matériel de cuisine.	http://kaiko.getalp.org/dbnary/fra/__ws_2_armoire__nom__1
	B._UND-2	Grand meuble, ordinairement plus haut que large, garni de tablettes et fermé par une ou plusieurs portes, destiné à renfermer les objets de ménage, le linge, les vêtements	exact	exact	exact	(Mobilier) Meuble haut fermé par une ou deux portes et destiné au rangement du linge, des vêtements ou d’autres objets.	http://kaiko.getalp.org/dbnary/fra/__ws_1_armoire__nom__1
	B._UND-2	Grand meuble, ordinairement plus haut que large, garni de tablettes et fermé par une ou plusieurs portes, destiné à renfermer les objets de ménage, le linge, les vêtements	related	none	related	(Québec) Armoire en muraille : Placard situé dans l'épaisseur d'un mur.	http://kaiko.getalp.org/dbnary/fra/__ws_3_armoire__nom__1
	C._UND-14	Enveloppe métallique fixée au sol, qui contient tout ou partie des appareils entrant dans la composition d'un équipement électrique.	none	none	none	(Québec) Placard, meuble de rangement, notamment pour le matériel de cuisine.	http://kaiko.getalp.org/dbnary/fra/__ws_2_armoire__nom__1
	C._UND-14	Enveloppe métallique fixée au sol, qui contient tout ou partie des appareils entrant dans la composition d'un équipement électrique.	none	none	none	(Mobilier) Meuble haut fermé par une ou deux portes et destiné au rangement du linge, des vêtements ou d’autres objets.	http://kaiko.getalp.org/dbnary/fra/__ws_1_armoire__nom__1
	C._UND-14	Enveloppe métallique fixée au sol, qui contient tout ou partie des appareils entrant dans la composition d'un équipement électrique.	none	none	none	(Québec) Armoire en muraille : Placard situé dans l'épaisseur d'un mur.	http://kaiko.getalp.org/dbnary/fra/__ws_3_armoire__nom__1
	C._UND-15	Meuble métallique contenant des relais, des mémoires ou autres organes non inclus dans une machine. On connecte l'armoire à cette machine pour en augmenter les possibilités.	none	none	none	(Québec) Placard, meuble de rangement, notamment pour le matériel de cuisine.	http://kaiko.getalp.org/dbnary/fra/__ws_2_armoire__nom__1
	C._UND-15	Meuble métallique contenant des relais, des mémoires ou autres organes non inclus dans une machine. On connecte l'armoire à cette machine pour en augmenter les possibilités.	none	none	none	(Mobilier) Meuble haut fermé par une ou deux portes et destiné au rangement du linge, des vêtements ou d’autres objets.	http://kaiko.getalp.org/dbnary/fra/__ws_1_armoire__nom__1
	C._UND-15	Meuble métallique contenant des relais, des mémoires ou autres organes non inclus dans une machine. On connecte l'armoire à cette machine pour en augmenter les possibilités.	none	none	none	(Québec) Armoire en muraille : Placard situé dans l'épaisseur d'un mur.	http://kaiko.getalp.org/dbnary/fra/__ws_3_armoire__nom__1
	UND-1	Réduit aménagé dans l'épaisseur d'une muraille, clos par des portes et contenant des objets précieux, éventuellement des vivres.	none	none	none	(Québec) Placard, meuble de rangement, notamment pour le matériel de cuisine.	http://kaiko.getalp.org/dbnary/fra/__ws_2_armoire__nom__1
	UND-1	Réduit aménagé dans l'épaisseur d'une muraille, clos par des portes et contenant des objets précieux, éventuellement des vivres.	none	none	none	(Mobilier) Meuble haut fermé par une ou deux portes et destiné au rangement du linge, des vêtements ou d’autres objets.	http://kaiko.getalp.org/dbnary/fra/__ws_1_armoire__nom__1
	UND-1	Réduit aménagé dans l'épaisseur d'une muraille, clos par des portes et contenant des objets précieux, éventuellement des vivres.	narrower	narrower	narrower	(Québec) Armoire en muraille : Placard situé dans l'épaisseur d'un mur.	http://kaiko.getalp.org/dbnary/fra/__ws_3_armoire__nom__1
amener|verb|							
https://www.cnrtl.fr/definition/5634							
http://kaiko.getalp.org/dbnary/fra/amener__verb__1							
	I._B._1.UND-9	[L'obj. désigne une chose capable de mouvement]  Acheminer par un moyen de transport quelconque là où se trouve le sujet parlant (ou l'interlocuteur), ou au lieu précisé par le compl. circ.	none	none	related	(Pronominal) Arriver.	http://kaiko.getalp.org/dbnary/fra/__ws_10_amener__verb__1
	I._B._1.UND-9	[L'obj. désigne une chose capable de mouvement]  Acheminer par un moyen de transport quelconque là où se trouve le sujet parlant (ou l'interlocuteur), ou au lieu précisé par le compl. circ.	none	none	none	(Acadie) (Gaspésie) Mettre bas, en parlant des animaux.	http://kaiko.getalp.org/dbnary/fra/__ws_11_amener__verb__1
	I._B._1.UND-9	[L'obj. désigne une chose capable de mouvement]  Acheminer par un moyen de transport quelconque là où se trouve le sujet parlant (ou l'interlocuteur), ou au lieu précisé par le compl. circ.	narrower	narrower	narrower	Conduire, transporter vers un autre endroit.	http://kaiko.getalp.org/dbnary/fra/__ws_2_amener__verb__1
	I._B._1.UND-9	[L'obj. désigne une chose capable de mouvement]  Acheminer par un moyen de transport quelconque là où se trouve le sujet parlant (ou l'interlocuteur), ou au lieu précisé par le compl. circ.	none	none	none	(Figuré) Parvenir à faire adopter une opinion à quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_3_amener__verb__1
	I._B._1.UND-9	[L'obj. désigne une chose capable de mouvement]  Acheminer par un moyen de transport quelconque là où se trouve le sujet parlant (ou l'interlocuteur), ou au lieu précisé par le compl. circ.	none	none	none	Tirer à soi.	http://kaiko.getalp.org/dbnary/fra/__ws_4_amener__verb__1
	I._B._1.UND-9	[L'obj. désigne une chose capable de mouvement]  Acheminer par un moyen de transport quelconque là où se trouve le sujet parlant (ou l'interlocuteur), ou au lieu précisé par le compl. circ.	none	none	none	(Marine) Faire descendre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_amener__verb__1
	I._B._1.UND-9	[L'obj. désigne une chose capable de mouvement]  Acheminer par un moyen de transport quelconque là où se trouve le sujet parlant (ou l'interlocuteur), ou au lieu précisé par le compl. circ.	none	none	none	(Marine) (Par extension) Baisser son pavillon pour marquer qu’on se rend à l’ennemi.	http://kaiko.getalp.org/dbnary/fra/__ws_6_amener__verb__1
	I._B._1.UND-9	[L'obj. désigne une chose capable de mouvement]  Acheminer par un moyen de transport quelconque là où se trouve le sujet parlant (ou l'interlocuteur), ou au lieu précisé par le compl. circ.	none	none	none	(Figuré) Introduire, faire adopter, mettre en usage.	http://kaiko.getalp.org/dbnary/fra/__ws_7_amener__verb__1
	I._B._1.UND-9	[L'obj. désigne une chose capable de mouvement]  Acheminer par un moyen de transport quelconque là où se trouve le sujet parlant (ou l'interlocuteur), ou au lieu précisé par le compl. circ.	none	none	none	Passer d’une chose à une autre qui la suit immédiatement, ou qui en est la conséquence.	http://kaiko.getalp.org/dbnary/fra/__ws_8_amener__verb__1
	I._B._1.UND-9	[L'obj. désigne une chose capable de mouvement]  Acheminer par un moyen de transport quelconque là où se trouve le sujet parlant (ou l'interlocuteur), ou au lieu précisé par le compl. circ.	none	none	related	(Pronominal) Venir.	http://kaiko.getalp.org/dbnary/fra/__ws_9_amener__verb__1
	I._B._1.UND-9	[L'obj. désigne une chose capable de mouvement]  Acheminer par un moyen de transport quelconque là où se trouve le sujet parlant (ou l'interlocuteur), ou au lieu précisé par le compl. circ.	narrower	narrower	narrower	Mener d’un lieu à un autre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_amener__verb__1
	I._B._3.a)UND-14	MAR. (à voiles).  Tirer à soi, faire descendre (par un mouvement vertical).	none	none	none	(Pronominal) Arriver.	http://kaiko.getalp.org/dbnary/fra/__ws_10_amener__verb__1
	I._B._3.a)UND-14	MAR. (à voiles).  Tirer à soi, faire descendre (par un mouvement vertical).	none	none	none	(Acadie) (Gaspésie) Mettre bas, en parlant des animaux.	http://kaiko.getalp.org/dbnary/fra/__ws_11_amener__verb__1
	I._B._3.a)UND-14	MAR. (à voiles).  Tirer à soi, faire descendre (par un mouvement vertical).	none	none	none	Conduire, transporter vers un autre endroit.	http://kaiko.getalp.org/dbnary/fra/__ws_2_amener__verb__1
	I._B._3.a)UND-14	MAR. (à voiles).  Tirer à soi, faire descendre (par un mouvement vertical).	none	none	none	(Figuré) Parvenir à faire adopter une opinion à quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_3_amener__verb__1
	I._B._3.a)UND-14	MAR. (à voiles).  Tirer à soi, faire descendre (par un mouvement vertical).	broader	exact	broader	Tirer à soi.	http://kaiko.getalp.org/dbnary/fra/__ws_4_amener__verb__1
	I._B._3.a)UND-14	MAR. (à voiles).  Tirer à soi, faire descendre (par un mouvement vertical).	broader	exact	related	(Marine) Faire descendre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_amener__verb__1
	I._B._3.a)UND-14	MAR. (à voiles).  Tirer à soi, faire descendre (par un mouvement vertical).	related	broader	none	(Marine) (Par extension) Baisser son pavillon pour marquer qu’on se rend à l’ennemi.	http://kaiko.getalp.org/dbnary/fra/__ws_6_amener__verb__1
	I._B._3.a)UND-14	MAR. (à voiles).  Tirer à soi, faire descendre (par un mouvement vertical).	none	none	none	(Figuré) Introduire, faire adopter, mettre en usage.	http://kaiko.getalp.org/dbnary/fra/__ws_7_amener__verb__1
	I._B._3.a)UND-14	MAR. (à voiles).  Tirer à soi, faire descendre (par un mouvement vertical).	none	none	none	Passer d’une chose à une autre qui la suit immédiatement, ou qui en est la conséquence.	http://kaiko.getalp.org/dbnary/fra/__ws_8_amener__verb__1
	I._B._3.a)UND-14	MAR. (à voiles).  Tirer à soi, faire descendre (par un mouvement vertical).	none	none	none	(Pronominal) Venir.	http://kaiko.getalp.org/dbnary/fra/__ws_9_amener__verb__1
	I._B._3.a)UND-14	MAR. (à voiles).  Tirer à soi, faire descendre (par un mouvement vertical).	none	none	none	Mener d’un lieu à un autre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_amener__verb__1
	I._B._3.b)UND-18	 JEUX (dés, trictrac, cartes, loteries…). Faire sortir, jouer (un numéro, etc.)	none	none	none	(Pronominal) Arriver.	http://kaiko.getalp.org/dbnary/fra/__ws_10_amener__verb__1
	I._B._3.b)UND-18	 JEUX (dés, trictrac, cartes, loteries…). Faire sortir, jouer (un numéro, etc.)	none	none	none	(Acadie) (Gaspésie) Mettre bas, en parlant des animaux.	http://kaiko.getalp.org/dbnary/fra/__ws_11_amener__verb__1
	I._B._3.b)UND-18	 JEUX (dés, trictrac, cartes, loteries…). Faire sortir, jouer (un numéro, etc.)	none	none	none	Conduire, transporter vers un autre endroit.	http://kaiko.getalp.org/dbnary/fra/__ws_2_amener__verb__1
	I._B._3.b)UND-18	 JEUX (dés, trictrac, cartes, loteries…). Faire sortir, jouer (un numéro, etc.)	none	none	none	(Figuré) Parvenir à faire adopter une opinion à quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_3_amener__verb__1
	I._B._3.b)UND-18	 JEUX (dés, trictrac, cartes, loteries…). Faire sortir, jouer (un numéro, etc.)	none	none	none	Tirer à soi.	http://kaiko.getalp.org/dbnary/fra/__ws_4_amener__verb__1
	I._B._3.b)UND-18	 JEUX (dés, trictrac, cartes, loteries…). Faire sortir, jouer (un numéro, etc.)	none	none	none	(Marine) Faire descendre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_amener__verb__1
